YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2020,2020,MN,Minnesota,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,28.5,28.5,"$15,000 - $24,999",,"(46.35564873600049, -94.79420050299967)",PA,PA1,Q047,VALUE,27,Income,"$15,000 - $24,999",INC,INC1525
2020,2020,MI,Michigan,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,28.9,28.9,"Less than $15,000",,"(44.6613195430005, -84.71439026999968)",OWS,OWS1,Q037,VALUE,26,Income,"Less than $15,000",INC,INCLESS15
2020,2020,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,32.8,32.8,Data not reported,,"(34.865970280000454, -111.76381127699972)",OWS,OWS1,Q037,VALUE,4,Income,Data not reported,INC,INCNR
2020,2020,VT,Vermont,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,38.1,38.1,"$25,000 - $34,999",,"(43.62538123900049, -72.51764079099962)",OWS,OWS1,Q037,VALUE,50,Income,"$25,000 - $34,999",INC,INC2535
2020,2020,NV,Nevada,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,36.4,36.4,"Less than $15,000",,"(39.493240390000494, -117.07184056399967)",OWS,OWS1,Q036,VALUE,32,Income,"Less than $15,000",INC,INCLESS15
2020,2020,SC,South Carolina,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,34.9,34.9,"$50,000 - $74,999",,"(33.998821303000454, -81.04537120699968)",OWS,OWS1,Q036,VALUE,45,Income,"$50,000 - $74,999",INC,INC5075
2020,2020,GA,Georgia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,34.8,34.8,"$50,000 - $74,999",,"(32.83968109300048, -83.62758034599966)",OWS,OWS1,Q037,VALUE,13,Income,"$50,000 - $74,999",INC,INC5075
2020,2020,VA,Virginia,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,27.1,27.1,"$25,000 - $34,999",,"(37.54268067400045, -78.45789046299967)",PA,PA1,Q047,VALUE,51,Income,"$25,000 - $34,999",INC,INC2535
2020,2020,CA,California,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,33.4,33.4,"$75,000 or greater",,"(37.63864012300047, -120.99999953799971)",OWS,OWS1,Q037,VALUE,6,Income,"$75,000 or greater",INC,INC75PLUS
2020,2020,LA,Louisiana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,32.5,32.5,"$35,000 - $49,999",,"(31.31266064400046, -92.44568007099969)",OWS,OWS1,Q037,VALUE,22,Income,"$35,000 - $49,999",INC,INC3550
2020,2020,OK,Oklahoma,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,34.9,34.9,"$75,000 or greater",,"(35.47203135600046, -97.52107021399968)",OWS,OWS1,Q036,VALUE,40,Income,"$75,000 or greater",INC,INC75PLUS
2020,2020,GA,Georgia,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,29.7,29.7,"$25,000 - $34,999",,"(32.83968109300048, -83.62758034599966)",PA,PA1,Q047,VALUE,13,Income,"$25,000 - $34,999",INC,INC2535
2020,2020,TN,Tennessee,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,37,37,"$75,000 or greater",,"(35.68094058000048, -85.77449091399967)",OWS,OWS1,Q037,VALUE,47,Income,"$75,000 or greater",INC,INC75PLUS
2020,2020,DC,District of Columbia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,34.9,34.9,"$25,000 - $34,999",,"(38.89037138500049, -77.03196112699965)",OWS,OWS1,Q037,VALUE,11,Income,"$25,000 - $34,999",INC,INC2535
2020,2020,NE,Nebraska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,33.6,33.6,"$25,000 - $34,999",,"(41.6410409880005, -99.36572062299967)",OWS,OWS1,Q037,VALUE,31,Income,"$25,000 - $34,999",INC,INC2535
2020,2020,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,28.2,28.2,"$15,000 - $24,999",,"(64.84507995700051, -147.72205903599973)",OWS,OWS1,Q037,VALUE,2,Income,"$15,000 - $24,999",INC,INC1525
2020,2020,MD,Maryland,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,33.5,33.5,"$50,000 - $74,999",,"(39.29058096400047, -76.60926011099963)",OWS,OWS1,Q036,VALUE,24,Income,"$50,000 - $74,999",INC,INC5075
2020,2020,OH,Ohio,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,38.6,38.6,"Less than $15,000",,"(40.06021014100048, -82.40426005599966)",OWS,OWS1,Q036,VALUE,39,Income,"Less than $15,000",INC,INCLESS15
2020,2020,CT,Connecticut,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,28.1,28.1,"Less than $15,000",,"(41.56266102000046, -72.64984095199964)",OWS,OWS1,Q037,VALUE,9,Income,"Less than $15,000",INC,INCLESS15
2020,2020,NJ,New Jersey,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,33.1,33.1,"$35,000 - $49,999",,"(40.13057004800049, -74.27369128799967)",OWS,OWS1,Q036,VALUE,34,Income,"$35,000 - $49,999",INC,INC3550
2020,2020,MO,Missouri,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.4,29.4,Data not reported,,"(38.635790776000476, -92.56630005299968)",OWS,OWS1,Q036,VALUE,29,Income,Data not reported,INC,INCNR
2020,2020,WA,Washington,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,33.9,33.9,"$25,000 - $34,999",,"(47.52227862900048, -120.47001078999972)",OWS,OWS1,Q037,VALUE,53,Income,"$25,000 - $34,999",INC,INC2535
